dataset,publishTime,startTime,settlementDate,settlementPeriod,fuelType,generation
FUELHH,2026-06-15T14:30:00Z,2026-06-15T14:00:00Z,2026-06-15,31,CCGT,7901
FUELHH,2026-06-15T14:30:00Z,2026-06-15T14:00:00Z,2026-06-15,31,COAL,0
FUELHH,2026-06-15T14:30:00Z,2026-06-15T14:00:00Z,2026-06-15,31,INTELEC,996
FUELHH,2026-06-15T14:30:00Z,2026-06-15T14:00:00Z,2026-06-15,31,INTEW,-394
FUELHH,2026-06-15T14:30:00Z,2026-06-15T14:00:00Z,2026-06-15,31,INTFR,1502
FUELHH,2026-06-15T14:30:00Z,2026-06-15T14:00:00Z,2026-06-15,31,INTGRNL,-514
FUELHH,2026-06-15T14:30:00Z,2026-06-15T14:00:00Z,2026-06-15,31,INTIFA2,992
FUELHH,2026-06-15T14:30:00Z,2026-06-15T14:00:00Z,2026-06-15,31,INTIRL,0
FUELHH,2026-06-15T14:30:00Z,2026-06-15T14:00:00Z,2026-06-15,31,INTNED,1046
FUELHH,2026-06-15T14:30:00Z,2026-06-15T14:00:00Z,2026-06-15,31,INTNEM,814
FUELHH,2026-06-15T14:30:00Z,2026-06-15T14:00:00Z,2026-06-15,31,INTNSL,1396
FUELHH,2026-06-15T14:30:00Z,2026-06-15T14:00:00Z,2026-06-15,31,INTVKL,1426
FUELHH,2026-06-15T14:30:00Z,2026-06-15T14:00:00Z,2026-06-15,31,NPSHYD,236
FUELHH,2026-06-15T14:30:00Z,2026-06-15T14:00:00Z,2026-06-15,31,NUCLEAR,2998
FUELHH,2026-06-15T14:30:00Z,2026-06-15T14:00:00Z,2026-06-15,31,OCGT,2
FUELHH,2026-06-15T14:30:00Z,2026-06-15T14:00:00Z,2026-06-15,31,OIL,0
FUELHH,2026-06-15T14:30:00Z,2026-06-15T14:00:00Z,2026-06-15,31,OTHER,513
FUELHH,2026-06-15T14:30:00Z,2026-06-15T14:00:00Z,2026-06-15,31,PS,-4
FUELHH,2026-06-15T14:30:00Z,2026-06-15T14:00:00Z,2026-06-15,31,WIND,2120
FUELHH,2026-06-15T14:00:00Z,2026-06-15T13:30:00Z,2026-06-15,30,BIOMASS,1382
FUELHH,2026-06-15T14:00:00Z,2026-06-15T13:30:00Z,2026-06-15,30,CCGT,7756
FUELHH,2026-06-15T14:00:00Z,2026-06-15T13:30:00Z,2026-06-15,30,COAL,0
FUELHH,2026-06-15T14:00:00Z,2026-06-15T13:30:00Z,2026-06-15,30,INTELEC,998
FUELHH,2026-06-15T14:00:00Z,2026-06-15T13:30:00Z,2026-06-15,30,INTEW,-286
FUELHH,2026-06-15T14:00:00Z,2026-06-15T13:30:00Z,2026-06-15,30,INTFR,1502
FUELHH,2026-06-15T14:00:00Z,2026-06-15T13:30:00Z,2026-06-15,30,INTGRNL,-514
FUELHH,2026-06-15T14:00:00Z,2026-06-15T13:30:00Z,2026-06-15,30,INTIFA2,992
FUELHH,2026-06-15T14:00:00Z,2026-06-15T13:30:00Z,2026-06-15,30,INTIRL,0
FUELHH,2026-06-15T14:00:00Z,2026-06-15T13:30:00Z,2026-06-15,30,INTNED,1038
FUELHH,2026-06-15T14:00:00Z,2026-06-15T13:30:00Z,2026-06-15,30,INTNEM,994
FUELHH,2026-06-15T14:00:00Z,2026-06-15T13:30:00Z,2026-06-15,30,INTNSL,1396
FUELHH,2026-06-15T14:00:00Z,2026-06-15T13:30:00Z,2026-06-15,30,INTVKL,1426
FUELHH,2026-06-15T14:00:00Z,2026-06-15T13:30:00Z,2026-06-15,30,NPSHYD,228
FUELHH,2026-06-15T14:00:00Z,2026-06-15T13:30:00Z,2026-06-15,30,NUCLEAR,2997
FUELHH,2026-06-15T14:00:00Z,2026-06-15T13:30:00Z,2026-06-15,30,OCGT,2
FUELHH,2026-06-15T14:00:00Z,2026-06-15T13:30:00Z,2026-06-15,30,OIL,0
FUELHH,2026-06-15T14:00:00Z,2026-06-15T13:30:00Z,2026-06-15,30,OTHER,584
FUELHH,2026-06-15T14:00:00Z,2026-06-15T13:30:00Z,2026-06-15,30,PS,-4
FUELHH,2026-06-15T14:00:00Z,2026-06-15T13:30:00Z,2026-06-15,30,WIND,1978
